name agn_name ra dec lii bii angular_separation error_radius assoc_probability optical_class sed_class redshift photon_flux_limit photon_flux photon_flux_error spectral_index spectral_index_error detection_significance variability_flag curvature_flag note_flag clean_flag type_flag null
"1FGL J2250.8-2809" "CGRaBS J2250-2806" 342.68521 -28.10981 23.75431615 -63.31446468 0.061 0.063 0.98 AGN -999 0.525 -999 3e-09 4e-10 2.33 0.07 20.9 Y N S Y H -999
"1FGL J2258.0-2757" "PKS 2255-282" 344.52483 -27.97258 24.38661101 -64.92037822 0.027 0.186 0.98 FSRQ LSP 0.927 -999 9e-10 3e-10 2.67 0.1 10.6 N N MM N H -999
"1FGL J0348.5-2751" "PKS 0346-279" 57.15896 -27.82042 224.52664384 -50.90927668 0.041 0.166 0.99 FSRQ LSP 0.987 -999 7e-10 2e-10 2.2 0.18 5.9 N N S Y H -999
"1FGL J0144.9-2732" "PKS 0142-278" 26.26417 -27.55953 218.08657684 -78.09106769 0.034 0.086 1.0 FSRQ LSP 1.148 -999 2.2e-09 3e-10 2.6 0.06 24.6 Y N S Y H -999
"1FGL J1522.6-2732" "PKS 1519-273" 230.657 -27.503 339.58403494 24.40627834 0.045 0.078 1.0 BLL LSP 1.294 -999 2.8e-09 4e-10 2.25 0.08 13.1 Y N S Y H -999
"1FGL J0120.5-2700" "PKS 0118-272" 20.13192 -27.02347 213.66297964 -83.52464195 0.008 0.043 1.0 BLL ISP 0.557 -999 3.7e-09 4e-10 1.99 0.06 22.4 N N S Y H -999
"1FGL J1205.9-2637" "PKS 1203-26" 181.38842 -26.56792 290.36226634 35.18139623 0.11 0.183 0.98 FSRQ LSP 0.786 -999 7e-10 3e-10 2.72 0.14 7.4 N N S Y H -999
"1FGL J0315.9-2609" "RX J0316.2-2607" 49.0625 -26.13222 219.56393204 -57.73442263 0.067 0.057 0.95 BLL HSP 0.443 -999 8e-10 3e-10 1.84 0.19 6.5 N N S Y H -999
"1FGL J1246.7-2545" "PKS 1244-255" 191.695 -25.79703 301.61802982 37.06283554 0.037 0.041 1.0 FSRQ LSP 0.633 -999 8.1e-09 6e-10 2.31 0.04 37.9 Y Y S Y H -999
"1FGL J2243.1-2541" "PKS 2240-260" 340.85983 -25.74083 28.35660735 -61.38932157 0.086 0.1 0.98 BLL LSP 0.774 -999 1.8e-09 3e-10 2.32 0.09 12.7 N N S Y H -999
"1FGL J0343.4-2536" "PKS 0341-256" 55.83138 -25.5048 220.53241417 -51.63519991 0.104 0.269 0.97 FSRQ LSP 1.419 -999 4e-10 2e-10 2.75 0.18 5.0 N N S Y H -999
"1FGL J2213.1-2529" "PKS 2210-25" 333.26042 -25.49169 26.39873892 -54.61142455 0.023 0.149 1.0 FSRQ -999 1.831 < 1.1e-09 -999.0 2.52 0.18 5.8 N N S Y H -999
"1FGL J1625.7-2524" "PKS 1622-253" 246.44538 -25.46064 352.14038862 16.31867159 0.047 0.065 1.0 FSRQ LSP 0.786 -999 4.4e-09 6e-10 2.36 0.06 13.5 N Y S Y H -999
"1FGL J0047.3-2512" "NGC 253" 11.88806 -25.28812 97.37192788 -87.96393181 0.097 0.176 1.0 AGN -999 0.001 -999 7e-10 2e-10 2.15 0.17 6.2 N N S Y H -999
"1FGL J0038.4-2504" "PKS 0035-252" 9.56137 -24.98394 68.09215376 -86.34286278 0.1 0.128 0.98 FSRQ LSP 1.196 -999 1e-09 3e-10 2.45 0.13 9.3 Y N S Y H -999
"1FGL J0137.5-2428" "PKS 0135-247" 24.40979 -24.51489 201.39274211 -79.28426141 0.037 0.098 1.0 FSRQ LSP 0.835 -999 8e-10 2e-10 2.45 0.12 9.8 Y N S Y H -999
"1FGL J1517.8-2423" "AP Lib" 229.42421 -24.37208 340.68061804 27.57803486 0.03 0.043 1.0 BLL LSP 0.048 -999 5.6e-09 5e-10 2.1 0.06 24.2 N N S Y H -999
"1FGL J0104.4-2406" "PKS 0102-245" 16.2425 -24.27456 170.56594001 -85.82482659 0.212 0.235 0.94 FSRQ -999 1.747 < 1e-09 -999.0 2.28 0.2 4.5 N N S Y H -999
"1FGL J0303.5-2406" "PKS 0301-243" 45.86042 -24.11981 214.62132491 -60.17735308 0.027 0.032 1.0 BLL ISP 0.26 -999 4.6e-09 5e-10 1.98 0.05 27.9 Y N S Y H -999
"1FGL J1103.7-2329" "CRATES J1103-2329" 165.90671 -23.492 273.18975354 33.07932742 0.035 0.114 1.0 BLL HSP 0.186 < 6e-10 -999.0 1.36 0.58 4.4 N N S Y H -999
"1FGL J0457.0-2325" "PKS 0454-234" 74.26325 -23.41444 223.71044265 -34.89677345 0.009 0.017 1.0 FSRQ LSP 1.003 -999 3.25e-08 1.1e-09 2.21 0.02 115.4 Y Y S Y H -999
"1FGL J2006.6-2302" "CRATES J2005-2310" 301.48579 -23.17417 18.98503057 -26.15260724 0.21 0.162 0.91 FSRQ LSP 0.833 -999 1.6e-09 4e-10 2.68 0.1 11.1 N N S Y H -999
"1FGL J1258.7-2221" "PKS 1256-220" 194.727 -22.32531 305.20442499 40.51347525 0.054 0.099 1.0 FSRQ -999 1.303 -999 2.5e-09 4e-10 2.39 0.08 13.1 Y N S Y H -999
"1FGL J0252.8-2219" "PKS 0250-225" 43.19983 -22.32372 209.74892425 -62.09552174 0.009 0.05 1.0 FSRQ LSP 1.427 -999 5.2e-09 5e-10 2.38 0.04 34.5 Y N S Y H -999
"1FGL J1007.1-2157" "PKS 1004-217" 151.69338 -21.989 259.80066458 26.77679205 0.1 0.06 0.84 FSRQ LSP 0.33 -999 9e-10 3e-10 2.35 0.14 8.7 N N S Y H -999
"1FGL J1159.4-2149" "PKS 1157-215" 179.96629 -21.81492 287.36062951 39.49237193 0.088 0.121 0.98 FSRQ -999 0.927 -999 1.9e-09 4e-10 2.69 0.1 13.2 Y N MM N H -999
"1FGL J2331.0-2145" "CRATES J2331-2148" 352.76679 -21.80428 44.7983127 -70.97822071 0.05 0.064 0.98 FSRQ -999 0.556 -999 3.5e-09 4e-10 2.39 0.06 24.2 Y N S Y H -999
"1FGL J1159.4-2149" "CGRaBS J1159-2142" 179.83929 -21.71247 287.17855844 39.56082016 0.113 0.121 0.95 FSRQ -999 0.617 -999 1.9e-09 4e-10 2.69 0.1 13.2 Y N MM N H -999
"1FGL J0118.7-2137" "PKS 0116-219" 19.73858 -21.69167 173.44696308 -81.70899554 0.083 0.071 0.97 FSRQ LSP 1.165 -999 3.3e-09 4e-10 2.4 0.06 25.7 Y N S Y H -999
"1FGL J1923.5-2104" "OV -235" 290.88412 -21.07594 17.17837611 -16.25449124 0.001 0.03 1.0 FSRQ LSP 0.874 -999 1.19e-08 7e-10 2.17 0.03 42.6 Y Y S Y H -999
"1FGL J1833.6-2103" "PKS 1830-21" 278.4162 -21.06105 12.1657618 -5.71153707 0.01 0.036 1.0 FSRQ -999 2.507 -999 1.07e-08 8e-10 2.56 0.17 41.0 Y Y S N L -999
"1FGL J0349.9-2104" "PKS 0347-211" 57.49096 -21.04658 214.39700964 -49.01275662 0.035 0.083 1.0 FSRQ LSP 2.944 -999 3e-09 4e-10 2.53 0.06 24.7 Y N S Y H -999
"1FGL J1341.1-2045" "PKS B1339-206" 205.51975 -20.85822 318.55028206 40.4726998 0.23 0.171 0.65 FSRQ LSP 1.582 -999 6e-10 3e-10 2.73 0.14 7.4 N N S N H -999
"1FGL J1911.2-2007" "PKS B1908-201" 287.79021 -20.1153 16.87442355 -13.21743735 0.019 0.074 1.0 FSRQ LSP 1.119 -999 4.5e-09 5e-10 2.42 0.05 20.6 Y Y S Y H -999
"1FGL J0600.5-2006" "CRATES J0601-2004" 90.47012 -20.07922 226.04317316 -19.62680246 0.303 0.26 0.0 FSRQ -999 1.216 -999 7e-10 3e-10 2.41 0.15 6.2 N N -999 N A -999
"1FGL J0033.5-1921" "RBS 76" 8.39292 -19.35944 94.17189932 -81.2161506 0.006 0.053 1.0 BLL HSP 0.61 -999 2.8e-09 4e-10 1.89 0.08 17.5 N N S Y H -999
"1FGL J1917.7-1922" "CGRaBS J1917-1921" 289.43675 -19.35878 18.24019629 -14.31950739 0.008 0.052 1.0 BLL ISP 0.137 -999 3.3e-09 4e-10 1.88 0.08 14.7 N N S Y H -999
"1FGL J1126.8-1854" "PKS 1124-186" 171.76829 -18.95483 276.72512523 39.58529612 0.066 0.1 0.99 FSRQ LSP 1.048 -999 2.4e-09 4e-10 2.45 0.07 18.4 N N S Y H -999
"1FGL J0416.5-1851" "PKS 0414-189" 64.15225 -18.85231 214.30747072 -42.37902559 0.014 0.105 1.0 FSRQ LSP 1.536 -999 1.5e-09 3e-10 2.37 0.1 12.3 N N S Y H -999
"1FGL J1258.4-1802" "PKS B1256-177" 194.65959 -18.00087 305.34651136 44.83711825 0.065 0.075 0.99 FSRQ -999 1.956 -999 1.2e-09 3e-10 2.54 0.1 12.3 Y N S Y H -999
"1FGL J1027.1-1747" "BZB J1026-1748" 156.74383 -17.81625 260.92170182 33.02217223 0.04 0.139 1.0 BLL HSP 0.114 -999 6e-10 3e-10 2.32 0.29 4.1 N N S Y H -999
"1FGL J2000.9-1749" "PKS 1958-179" 300.23787 -17.81603 24.00981149 -23.11563693 0.015 0.082 1.0 FSRQ LSP 0.652 -999 2.8e-09 4e-10 2.46 0.07 16.5 Y N S Y H -999
"1FGL J0648.7-1740" "TXS 0646-176" 102.11874 -17.73484 228.50805825 -8.61865394 0.092 0.107 0.99 FSRQ -999 1.232 -999 2.5e-09 5e-10 2.47 0.15 10.8 Y N S N L -999
"1FGL J0339.1-1734" "PKS 0336-177" 54.80712 -17.60022 208.07364837 -50.24857859 0.026 0.077 0.99 AGN -999 0.065 -999 5e-10 3e-10 1.95 0.3 5.4 N N S Y H -999
"1FGL J1344.2-1723" "CGRaBS J1344-1723" 206.06 -17.39456 320.46639127 43.67211459 0.011 0.044 1.0 FSRQ -999 2.49 -999 5.8e-09 5e-10 2.11 0.05 25.7 Y N S Y H -999
"1FGL J0617.7-1718" "CRATES J0617-1715" 94.38925 -17.25697 224.88008001 -15.09742815 0.064 0.074 0.98 BLL LSP 0.32 -999 1.3e-09 3e-10 1.99 0.16 8.2 N N S Y H -999
"1FGL J0205.0-1702" "PKS 0202-17" 31.24029 -17.02217 185.99286324 -70.23169708 0.026 0.117 1.0 FSRQ LSP 1.74 -999 1.5e-09 3e-10 2.53 0.09 13.7 Y N S Y H -999
