name agn_name ra dec lii bii angular_separation error_radius assoc_probability optical_class sed_class redshift photon_flux_limit photon_flux photon_flux_error spectral_index spectral_index_error detection_significance variability_flag curvature_flag note_flag clean_flag type_flag null
"1FGL J0310.1-6058" "PKS 0308-611" 47.48363 -60.97761 278.11767228 -48.94117091 0.025 0.098 1.0 FSRQ LSP 1.48 -999 1.4e-09 3e-10 2.53 0.14 9.6 N N S Y H -999
"1FGL J0648.6-6052" "CRATES J0647-6058" 101.92029 -60.968 270.86541121 -23.9392891 0.146 0.398 0.77 Unknown -999 -999.0 < 1e-09 -999.0 3.8 0.49 4.7 N N S N H -999
"1FGL J0445.2-6008" "AT20G J0445-6015" 71.25667 -60.25006 270.06527573 -38.85186786 0.105 0.169 0.0 AGN -999 0.097 -999 8e-10 3e-10 1.98 0.29 4.6 N N -999 N A -999
"1FGL J1617.7-5843" "PMN J1617-5848" 244.32454 -58.80218 326.97036896 -5.90253086 0.092 0.146 0.98 Unknown -999 -999.0 -999 2.3e-09 5e-10 2.72 0.05 10.2 N N S N L -999
"1FGL J0049.8-5738" "PKS 0047-579" 12.49775 -57.64067 303.31323139 -59.48650998 0.019 0.07 1.0 FSRQ LSP 1.797 -999 6e-10 2e-10 2.42 0.16 8.3 N N S Y H -999
"1FGL J0905.1-5736" "PKS 0903-57" 136.22158 -57.58494 276.11660345 -7.04087886 0.041 0.068 1.0 FSRQ -999 0.695 -999 1.8e-09 4e-10 2.36 0.18 7.5 Y N S N L -999
"1FGL J0537.7-5717" "SUMSS J053748-571828" 84.45325 -57.30806 265.57012579 -32.38004392 0.014 0.073 0.0 Unknown -999 -999.0 < 1e-09 -999.0 1.81 0.42 6.1 N N -999 N A -999
"1FGL J1832.6-5700" "CRATES J1832-5659" 278.12946 -56.98856 338.23340222 -20.02241689 0.023 0.146 0.99 BLL -999 -999.0 -999 1.7e-09 4e-10 2.28 0.16 7.5 N N S Y H -999
"1FGL J0325.6-5626" "CRATES J0325-5635" 51.348 -56.59564 270.84432584 -49.83407469 0.156 0.181 0.8 Unknown -999 -999.0 -999 6e-10 3e-10 2.98 0.24 6.1 N N MM N H -999
"1FGL J0325.6-5626" "CRATES J0325-5629" 51.34437 -56.48486 270.69825196 -49.89246888 0.056 0.181 0.96 Unknown -999 -999.0 -999 6e-10 3e-10 2.98 0.24 6.1 N N MM N H -999
